[2026-05-06 23:30:49.340] session start (20260506_233049)
[2026-05-06 23:30:49.478] CAN open: SYS TEC dev=0 ch=0 500 kbps
[2026-05-06 23:30:49.478] keepalive plan: GTW=False EPB=True 30MPH=False
[2026-05-06 23:30:49.539] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:01.619] 30 MPH MODE on
[2026-05-06 23:31:01.663] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:44.864] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:44.904] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:45.144] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:45.184] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:45.424] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:45.464] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:45.704] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:45.744] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:45.984] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:46.024] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:46.944] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:46.984] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:47.064] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:47.104] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:47.464] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:47.500] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:56.423] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:56.463] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:56.703] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:56.743] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:56.983] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:57.023] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:57.223] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:57.303] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:57.343] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:57.383] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:57.623] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:57.743] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:57.783] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:57.823] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:57.863] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:57.903] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:57.983] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:58.103] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:58.143] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:58.224] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:58.263] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:58.383] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:58.424] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:31:59.704] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:31:59.744] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:02.705] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:02.745] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:02.865] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:02.905] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:03.301] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:03.341] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:03.662] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:03.742] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:03.862] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:03.901] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:04.301] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:04.382] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:04.422] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:32:04.501] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:32:04.542] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
