wall_time,monotonic,event,mode,engaged,estop,target_deg,commanded_deg,measured_deg,eac_status,eac_error,rx_count_0x370,bus_errors,gear,gear_request,di_vehicle_speed_mph,brake_pedal,brake_state
2026-05-18 22:08:18.248,0.1195,eac_transition:AVAILABLE,slider,0,0,0.00,0.00,4.30,AVAILABLE,HANDS_ON,3,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:18.533,0.4045,,slider,0,0,0.00,0.00,4.30,AVAILABLE,HANDS_ON,10,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:18.844,0.7149,engage,slider,1,0,4.30,4.30,4.30,AVAILABLE,HANDS_ON,17,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:18.921,0.7923,eac_transition:ACTIVE,slider,1,0,0.00,2.61,4.30,ACTIVE,NONE,20,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:18.922,0.7935,,slider,1,0,0.00,2.61,4.30,ACTIVE,NONE,20,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:19.321,1.1918,,slider,1,0,0.00,0.13,1.50,ACTIVE,NONE,30,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:19.739,1.6100,,slider,1,0,0.00,0.01,0.40,ACTIVE,NONE,40,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:20.120,1.9912,,slider,1,0,290.83,4.83,0.10,ACTIVE,NONE,50,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:20.535,2.4058,,slider,1,0,0.00,76.83,48.20,ACTIVE,NONE,60,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:20.922,2.7929,,slider,1,0,-342.74,13.83,39.80,ACTIVE,NONE,70,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:21.339,3.2099,,slider,1,0,-338.52,-61.17,-30.90,ACTIVE,NONE,80,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:21.727,3.5986,,slider,1,0,347.00,-76.17,-93.70,ACTIVE,NONE,90,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:22.133,4.0046,,slider,1,0,351.29,-4.17,-34.00,ACTIVE,NONE,100,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:22.539,4.4096,,slider,1,0,-77.93,43.83,40.40,ACTIVE,NONE,110,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:22.939,4.8100,,slider,1,0,0.00,-27.70,3.00,ACTIVE,NONE,120,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:23.333,5.2038,,slider,1,0,24.36,2.39,-5.90,ACTIVE,NONE,130,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:23.735,5.6060,,slider,1,0,0.00,4.88,11.30,ACTIVE,NONE,140,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:24.135,6.0063,,slider,1,0,0.00,-5.22,-8.00,ACTIVE,NONE,150,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:24.535,6.4064,,slider,1,0,0.00,10.97,7.20,ACTIVE,NONE,160,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:24.921,6.7920,,slider,1,0,0.00,0.62,2.90,ACTIVE,NONE,170,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:25.321,7.1922,,slider,1,0,0.00,0.03,0.60,ACTIVE,NONE,180,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:25.721,7.5920,,slider,1,0,0.00,0.00,0.10,ACTIVE,NONE,190,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:26.122,7.9926,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,200,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:26.521,8.3924,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,210,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:26.921,8.7919,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,220,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:27.321,9.1923,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,230,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:27.722,9.5927,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,240,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:28.121,9.9924,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,250,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:28.521,10.3924,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,260,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:28.941,10.8121,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,270,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:29.321,11.1925,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,280,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:29.741,11.6123,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,290,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:30.121,11.9924,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,300,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:30.523,12.3937,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,310,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:30.922,12.7928,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,320,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:31.322,13.1931,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,330,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:31.722,13.5931,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,340,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:32.122,13.9931,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,350,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:32.523,14.3937,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,360,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:32.923,14.7942,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,370,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:33.322,15.1935,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,380,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:33.722,15.5935,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,390,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:34.122,15.9935,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,400,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:34.523,16.3936,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,410,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:34.923,16.7936,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,420,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:35.323,17.1942,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,430,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:35.724,17.5950,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,440,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:36.123,17.9945,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,450,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:36.525,18.3958,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,460,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:36.925,18.7962,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,470,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:37.324,19.1952,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,480,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:37.725,19.5960,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,490,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:38.124,19.9953,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,500,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:38.525,20.3958,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,510,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:38.925,20.7961,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,520,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:39.325,21.1959,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,530,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:39.724,21.5953,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,540,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:40.125,21.9958,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,550,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:40.524,22.3951,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,560,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:40.925,22.7964,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,570,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:41.324,23.1955,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,580,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:41.725,23.5957,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,590,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:42.124,23.9955,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,600,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:42.525,24.3955,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,610,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:42.925,24.7965,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,620,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:43.326,25.1967,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,630,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:43.725,25.5964,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,640,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:44.126,25.9968,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,650,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:44.526,26.3974,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,660,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:44.926,26.7975,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,670,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:45.325,27.1965,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,680,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:45.725,27.5964,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,690,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:46.126,27.9974,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,700,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:46.527,28.3976,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,710,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:46.925,28.7965,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,720,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:47.325,29.1960,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,730,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:47.726,29.5972,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,740,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:48.126,29.9974,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,750,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:48.526,30.3970,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,760,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:48.926,30.7970,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,770,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:49.326,31.1966,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,780,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:49.726,31.5969,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,790,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:50.125,31.9963,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,800,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:50.526,32.3975,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,810,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:50.926,32.7969,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,820,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:51.326,33.1970,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,830,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:51.727,33.5980,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,840,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:52.126,33.9971,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,850,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:52.527,34.3982,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,860,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:52.926,34.7967,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,870,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:53.326,35.1967,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,880,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:53.727,35.5976,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,890,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:54.126,35.9968,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,900,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:54.527,36.3977,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,910,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:54.926,36.7969,,slider,1,0,0.00,0.00,0.00,ACTIVE,NONE,920,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:55.328,37.1995,,slider,1,0,0.00,-1.61,-3.10,ACTIVE,NONE,930,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:55.733,37.6038,,slider,1,0,0.00,-3.82,-7.30,ACTIVE,NONE,940,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:56.133,38.0041,,slider,1,0,0.00,-0.19,-2.40,ACTIVE,NONE,950,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:56.534,38.4049,,slider,1,0,0.00,-0.01,-0.50,ACTIVE,NONE,960,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:56.933,38.8038,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,970,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:57.333,39.2042,,slider,1,0,11.00,17.41,2.00,ACTIVE,NONE,980,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:57.733,39.6044,,slider,1,0,0.00,-2.02,2.30,ACTIVE,NONE,990,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:58.133,40.0042,,slider,1,0,0.00,-0.10,0.30,ACTIVE,NONE,1000,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:58.493,40.3639,,slider,1,0,0.00,-0.01,0.20,ACTIVE,NONE,1010,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:58.894,40.7651,,slider,1,0,0.00,-0.00,0.20,ACTIVE,OUT_OF_RANGE,1020,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:58.934,40.8053,eac_transition:INHIBITED,slider,1,0,0.00,-0.00,0.30,INHIBITED,OUT_OF_RANGE,1021,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:59.294,41.1650,,slider,1,0,0.00,-0.00,1.70,INHIBITED,OUT_OF_RANGE,1030,0,P,P,0.00,released,RELEASED
2026-05-18 22:08:59.694,41.5654,,slider,1,0,0.00,-0.00,1.70,INHIBITED,OUT_OF_RANGE,1040,0,P,P,0.00,released,RELEASED
2026-05-18 22:09:00.094,41.9652,,slider,1,0,0.00,-0.00,1.80,INHIBITED,OUT_OF_RANGE,1050,0,P,P,0.00,released,RELEASED
2026-05-18 22:09:00.917,42.7879,estop:no 0x370 for 502 ms,slider,0,1,0.00,-0.00,1.90,INHIBITED,OUT_OF_RANGE,1058,0,P,P,0.00,released,RELEASED
